rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
0.0,-55.0,48.426,16.0,0,0,1,1,1,0
5.0,-67.0,6.13,18.0,0,0,1,1,1,0
4.0,-74.0,93.758,21.0,0,0,1,1,1,0
7.0,-73.0,25.91,9.0,1,0,1,1,0,0
7.0,-54.0,7.321,10.0,1,0,1,1,1,0
7.0,-93.0,25.91,20.0,1,0,1,1,1,0
0.0,-62.0,179.149,5.0,2,0,1,1,1,0
0.0,-48.0,10.125,10.0,2,0,1,1,1,0
6.0,-53.0,7.321,10.0,2,0,1,1,0,0
0.0,-48.0,16.29,17.0,2,0,1,1,1,0
7.0,-54.0,7.321,19.0,2,0,1,1,1,0
7.0,-84.0,177.85,22.0,2,0,1,1,1,0
0.0,-48.0,97.619,9.0,3,0,1,1,1,0
0.0,-61.0,21.55,11.0,3,0,1,1,1,0
7.0,-70.0,108.206,12.0,3,0,1,1,1,0
0.0,-52.0,17.59,13.0,3,0,1,1,1,1
4.0,-56.0,6.13,21.0,3,0,1,1,1,0
0.0,-48.0,79.282,4.0,4,0,1,1,1,0
1.0,-48.0,80.282,5.0,4,0,1,1,1,0
7.0,-66.0,202.7,13.0,5,1,1,1,1,1
7.0,-55.0,6.13,17.0,5,1,1,1,1,0
7.0,-55.0,7.321,16.0,6,1,1,1,1,0
7.0,-77.0,94.954,16.0,6,1,1,1,1,0
7.0,-57.0,7.321,17.0,6,1,1,1,1,0
7.0,-52.0,6.13,18.0,6,1,1,1,1,0
7.0,-59.0,7.321,9.0,0,0,1,1,1,0
7.0,-57.0,7.321,10.0,0,0,1,1,1,0
4.0,-52.0,6.13,19.0,0,0,1,1,1,0
7.0,-67.0,7.321,7.0,1,0,1,1,1,0
7.0,-74.0,7.321,9.0,1,0,1,1,1,0
7.0,-56.0,7.321,23.0,1,0,1,1,1,0
2.0,-61.0,90.108,18.0,3,0,1,1,1,0
0.0,-49.0,7.321,17.0,5,1,1,1,1,0
0.0,-81.0,65.514,20.0,5,1,1,1,0,1
0.0,-48.0,26.739,15.0,6,1,1,1,1,0
4.0,-57.0,7.321,19.0,0,0,1,1,1,0
0.0,-48.0,31.351,19.0,0,0,1,1,1,0
0.0,-53.0,78.155,7.0,1,0,1,1,1,0
