source,timestamp,km,zone_gsmr,cause_racine,sous_systeme,rxqual_ertms,rxlev_ertms,start_time,stop_time,call_setup_duration,transaction_duration,gsmr_connected,etcs_connected,end_event,end_cause,imei,label,call_setup_sec,transaction_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,km_value
ERTMS,2025-11-29 15:05:08.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO  finalisé entre 202 et 203 , les conditions radio étaient  mauvaises avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-71,2025-11-29 15:05:10.928,2025-11-29 15:05:18.429,3s 591ms,7s 501ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500047160.0,1,3.591,7.501,15,5,1,0,1,0,0,6.13
ERTMS,2025-11-16 12:05:36.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO Complete entre 203 et 202, les conditions radio étaient mauvaies avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec retransmission des trames HDLC*5",BORD,dl Rxqual=6,dl rx level=-70,2025-11-16 12:05:42.591,2025-11-16 12:05:47.624,3s 622ms,5s 33ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500045217.0,1,3.622,5.033,12,6,1,0,1,0,0,6.13
ERTMS,2026-01-08 07:37:24.000,145.6,GSMR_25/26,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 225 et 226, les conditions radio étaient bonnes  avant la déconnexion, La requete de deconnexion a ete envoyé par le  RBC  avec retransmission des trames HDLC*5",GSMR,dl Rxqual=2,dl rx level=-71,2026-01-08 07:37:17.136,2026-01-08 07:37:34.826,3s 603ms,17s 690ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500043740.0,1,3.6029999999999998,17.69,7,3,0,0,1,0,0,145.6
ERTMS,2025-10-24 20:14:44.000,73.586,GSMR_13/14,"Selon notre analyse, nous avons constaté que le HO est non finalisé  entre 213 et 214 ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC",GSMR,dl Rxqual=7,dl rx level=-67,2025-10-24 20:14:48.511,2025-10-24 20:14:55.684,3s 615ms,7s 173ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500045073.0,1,3.615,7.173,20,4,0,0,1,0,0,73.586
ERTMS,2025-11-28 07:38:05.000,152.548,GSMR_26/27,"Selon notre analyse, nous avons constaté que le HO downlink quality non finalisé entre 226 et 327, les conditions radio étaient mauvaises lors du HO ce qui a engendré la déconnexion, La requete de deconnexion a ete envoyé par le MSC avec retransmission des trames HDLC*5",GSMR,dl Rxqual=7,dl rx level=-54,2025-11-28 07:38:03.224,2025-11-28 07:38:18.887,3s 634ms,15s 663ms,Connected,Not Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500042751.0,1,3.634,15.663,7,4,0,0,1,0,0,152.548
Expandium_Normal,2026-03-06 04:57:42.157,,,,,,,2026-03-06 04:57:42.157,2026-03-06 06:13:36.442,3s 619ms,1h 15min 54s 285ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500022752.0,0,3.6189999999999998,4554.285,4,4,0,1,0,1,0,
Expandium_Normal,2025-11-25 03:23:56.845,,,,,,,2025-11-25 03:23:56.845,2025-11-25 03:24:31.716,4s 558ms,34s 871ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500017596.0,0,4.558,34.871,3,1,0,1,1,0,0,
Expandium_Normal,2025-11-10 05:53:51.671,,,,,,,2025-11-10 05:53:51.671,2025-11-10 07:08:29.679,3s 630ms,1h 14min 38s 8ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500017596.0,0,3.63,4478.008,5,0,0,1,0,1,0,
Expandium_Normal,2026-01-26 04:46:07.477,,,,,,,2026-01-26 04:46:07.477,2026-01-26 04:46:57.485,4s 527ms,50s 8ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045498.0,0,4.527,50.008,4,0,0,1,1,0,0,
Expandium_Normal,2025-11-02 18:00:42.682,,,,,,,2025-11-02 18:00:42.682,2025-11-02 18:45:59.949,3s 628ms,45min 17s 267ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500047160.0,0,3.628,2717.267,18,6,1,0,0,0,0,
